X,Y,OBJECTID,FECHA,Positivas,Negativas,TOTALES,XCOORD,YCOORD,Pruebas_dia,GlobalID
,,91,2020/05/26 19:26:57+00,11447,47020,60598,526296.889053,932307.407911,1259,8d2b863e-6570-4bca-a823-b979fa6a4451
,,92,2020/05/27 19:00:00+00,11728,47992,61895,526296.889053,932307.407911,1297,ca494e20-11fe-4ea1-9e71-c027cb243654
,,93,2020/05/28 20:24:48+00,12131,48842,63202,526296.889053,932307.407911,1307,a5f72429-9e4f-4675-a79d-c0617a67b79a
,,94,2020/05/29 19:19:55.331+00,12531,49849,64641,526296.889053,932307.407911,1439,928c5fa4-f5d6-4867-a0e5-536318229d76
,,95,2020/05/30 20:59:34+00,13018,50849,66192,526296.889053,932307.407911,1551,15459ed9-7bf0-4812-a6ee-2f58038fd422
,,96,2020/05/31 19:02:54+00,13463,51874,67730,526296.889053,932307.407911,1538,d94e3212-d773-4ebb-8e24-2a9ac1669d77
,,97,2020/06/01 22:00:00+00,13837,52428,68635,526296.889053,932307.407911,905,c6d1313a-70cc-4eea-a5ca-ff745eacbe83
,,98,2020/06/02 23:00:00+00,14095,53000,69483,526296.889053,932307.407911,848,46c1da74-f213-4e52-a057-094a0117a108
,,99,2020/06/03 23:00:00+00,14609,54105,71139,526296.889053,932307.407911,1656,372e0f48-4ae8-448d-82fb-1cd474eb10bf
,,100,2020/06/04 22:27:32+00,15044,55201,72697,526296.889053,932307.407911,1558,e919ce87-2106-4ece-9675-303112687dbc
,,101,2020/06/05 12:00:00+00,15463,56277,74231,526296.889053,932307.407911,1076,8a65bc97-5892-4ab8-bd8f-883accf0ed7c
,,102,2020/06/06 23:00:00+00,16004,57480,76003,526296.889053,932307.407911,1772,a7ed3eea-1cb9-4e8d-967d-0132f52b19bf
,,103,2020/06/07 23:00:00+00,16425,58632,77592,526296.889053,932307.407911,1589,896691c0-ca51-48cf-a7c0-8d280f015f49
,,104,2020/06/08 20:30:12+00,16854,59859,79268,526296.889053,932307.407911,1676,dcda92d0-67f0-410d-bcbd-2b869f7c1817
,,105,2020/06/09 19:12:15+00,17233,60899,80720,526296.889053,932307.407911,1452,0a6cb4c4-c815-4018-8490-94196dcbcb28
,,106,2020/06/10 20:10:03+00,17889,62284,82774,526296.889053,932307.407911,2054,1cf4b677-47bd-455a-85e2-e013ddcee440
,,107,2020/06/11 20:12:51+00,18586,63805,85007,526296.889053,932307.407911,2233,4490124e-e2f7-440b-adc5-e6e669149114
,,108,2020/06/12 19:25:02+00,19211,65209,87041,526296.889053,932307.407911,2034,7b029787-7f4e-460b-9f7b-b2854f22b0a3
,,109,2020/06/13 20:43:37.319+00,20059,67027,89736,526296.889053,932307.407911,2695,72f0d030-1541-46b1-b7ce-bd9ff01a1beb
,,110,2020/06/14 18:23:46.190+00,20686,68280,91637,526296.889053,932307.407911,1901,f3556449-e6d9-46bc-bc33-fec325082486
,,111,2020/06/15 10:39:19+00,21422,69528,93646,526296.889053,932307.407911,2009,63e52708-0e63-4997-965d-6fedc0cb78c5
,,113,2020/06/16 10:06:19+00,21962,70633,95299,526296.889053,932307.407911,2704,913cff27-d087-4d5e-8796-d64eb2f72ba5
,,114,2020/06/17 23:00:00+00,22597,72084,97402,526296.889053,932307.407911,2103,872f4788-c4c5-48d1-96a3-b058162aaa0d
,,115,2020/06/18 21:00:00+00,23351,73779,99870,526296.889053,932307.407911,2468,35cef42d-c940-4aea-a9e7-24e9856a34c6
,,116,2020/06/19 18:48:10.388+00,24274,75676,102703,526296.889053,932307.407911,2833,2ce46290-859d-47df-a7f8-a10109e623e6
,,118,2020/06/20 11:48:46+00,25222,77494,105470,526296.889053,932307.407911,2767,8e0ac56d-c5dd-4a5e-9c1b-79876613cbc0
,,119,2020/06/21 08:45:37+00,26030,79096,107903,526296.889053,932307.407911,2433,549a53bb-a768-43ca-9bb9-1d938a851b22
,,120,2020/06/22 22:12:59.095+00,26752,80449,109990,526296.889053,932307.407911,2087,a1091e91-eab5-4435-af3e-7bac8a2bba40
,,121,2020/06/23 21:26:27+00,27314,81588,111735,526296.889053,932307.407911,1745,e2d4c6a1-b16a-4017-a2a9-1538b1ab8b54
,,123,2020/06/24 21:29:57.631+00,28030,83167,114042,526296.889053,932307.407911,2307,317ca7bb-4fd7-4e48-82be-4c96fed62bc8
,,124,2020/06/25 12:01:29+00,29037,85384,117266,526296.889053,932307.407911,3224,8d61a913-c3a4-47ae-b81c-baff871e350b
,,126,2020/06/26 23:00:00+00,29905,87545,120303,526296.889053,932307.407911,3037,e0b916f3-0402-445c-8061-6fca6a963186
,,127,2020/06/27 09:00:00+00,30658,89143,122668,526296.889053,932307.407911,2365,4265a6e8-864d-44c1-91dd-2ead957b20fc
,,128,2020/06/28 14:00:00+00,31686,91023,125570,526296.889053,932307.407911,2902,33ef24c7-e86f-4e64-99a9-b5f41513b538
,,129,2020/06/29 23:00:00+00,32785,93124,128795,526296.889053,932307.407911,3225,01f2281c-3fb9-4652-abd0-6fabad8f7e41
,,130,2020/06/30 20:00:00+00,33550,94336,130776,526296.889053,932307.407911,1981,ae3a258a-4c9f-49e1-8a7b-82a476578d72
,,131,2020/07/01 18:00:00+00,34463,96093,133449,526296.889053,932307.407911,2673,e4583a81-28de-4aa3-a8cb-09e619000427
